ctry_year,CAgdp,STDebt/Res,FXimp,CPI,Taxgdp,InterestRev,RGDPyy,GDPppp,GDPpc,FX,FXchg,CG_DEBT_GDP,default_amount,default,fx_grade,lc_grade,tc_rating,country,year,default_lag1,cluster,fx_numeric,rating_binary,pca1,pca2
TWN_2011,-1.3735718629032259,35.303329616666666,5.303446450000001,5.848977901639344,16.756526669114375,8.576916961722295,3.4168079192913385,725819623600.0,21886.273377952755,434.0370969439999,-0.019939001901454558,33.309241680159,0,0.0,AA-,AA-,AA+,TWN,2011,0.0,0,4.0,0,0.6861226514199937,-0.33394315853975487
TWN_2012,-1.4733091556451614,41.1588858,5.131026737068966,4.703613159836065,16.77763492612372,8.648076384619493,3.442852714015748,765447111920.0,21635.631078740156,447.831831472,0.05136270094020649,34.040134857044,0,0.0,AA-,AA-,AA+,TWN,2012,0.0,0,4.0,0,0.4662626280553425,-0.12646704679693846
TWN_2013,-1.4330644015873015,43.78218693548387,5.016063116949153,3.554144376612904,16.710827029051988,8.627435947968547,2.9230942573643404,792131444251.9685,22056.955193798447,462.4200767165355,0.01012016270553516,33.700338320478,0,0.0,AA-,AA-,AA+,TWN,2013,0.0,0,4.0,0,0.5887898368825842,-0.05669139133806894
TWN_2014,-1.4251587578125,45.14892904761904,4.890181798319328,3.4165521159999996,16.77721287121212,8.516764941532466,3.1389089225954194,811433850271.3179,22131.240992366413,475.86019439534886,0.039903593962246374,32.449432579448,0,0.0,AA-,AA-,AA+,TWN,2014,0.0,0,4.0,0,0.49468266175744247,-0.0031974355550386238
TWN_2015,-2.168265769230769,44.76772015384615,5.324407860330579,3.79928587007874,16.569269151190475,8.811411000165817,3.1762094285714286,822623365351.145,19645.12906015037,524.7811301755726,0.13455719553710963,31.054735597839,0,0.0,AA-,AA-,AA+,TWN,2015,0.0,0,4.0,0,0.10824921288979963,0.0797572819034418
TWN_2016,-1.7540366034775234,42.258058030303026,5.790322821857923,5.541235716406249,16.649725761517832,9.006543327457763,2.9493104888059696,850791988560.6061,19503.01708208955,536.6427006742424,0.06157233564805673,30.414306406487,0,0.0,AA-,AA-,AA+,TWN,2016,0.0,0,4.0,0,0.244331358048122,-0.033384647913161425
TWN_2017,-0.9408836579966329,40.178688880597015,5.613808390243903,4.47018867109375,16.58983464942344,8.84019488691499,3.623032096296296,891504989699.2482,20452.511155555556,541.5680615488722,0.011745940967320661,29.766589055975,0,0.0,AA-,AA-,AA+,TWN,2017,0.0,0,4.0,0,0.44341991987647783,-0.14417763557276056
TWN_2018,-0.9980359996079945,40.661991691176475,5.197713652977668,3.98613274478235,16.592979145413654,9.036400246098598,3.3953101323529418,944821111194.0299,21586.37542647059,610.281029836969,0.014712622447300216,29.244111925417,0,0.0,AA-,AA-,AA+,TWN,2018,0.0,0,4.0,0,0.4391456214937846,-0.041469332408734544
TWN_2019,-0.615963901103457,38.94120595454545,5.361893727097902,3.42497762443787,16.601402536323096,9.16550372832631,2.667460781021898,994299320074.0741,21121.817043795618,633.296993082621,0.05054358525216774,28.174714067099,0,0.0,AA-,AA-,AA+,TWN,2019,0.0,0,4.0,0,0.35267871137635143,0.06640401434481333
TWN_2020,-1.8716938678213553,39.37351539232988,5.284119074171532,4.934241979827319,16.772312493282236,8.793930731929594,3.5373818379348423,741872224508.8369,16430.33641035769,553.0558686297617,0.03119668208138187,27.799658204052,0,0.0,AA-,AA-,AA+,TWN,2020,0.0,0,4.0,0,0.19178886902147804,-0.035178948775367924
TWN_2021,-1.8716938678213553,39.37351539232988,5.284119074171532,4.934241979827319,16.772312493282236,8.793930731929594,3.5373818379348423,741872224508.8369,16430.33641035769,553.0558686297617,0.03119668208138187,26.354554406035,0,0.0,AA,AA,AAA,TWN,2021,0.0,0,3.0,0,0.17096084004287446,-0.021822996006891804
UGA_2008,-8.4751,19.9185,4.85973,12.0509,11.489080000000001,13.672059999999998,8.70875,58963000000.0,472.843,1720.44,-0.0017696650401221037,15.653838207214,83.76,1.0,B+,B+,BB,UGA,2008,0.0,1,14.0,1,-0.48625553529646326,-1.633240939062112
